rank,grid_id,district,neighborhood,cdri,grade_raw,grade_final,grade_code,grade_name,in_robust_core,hazard_contribution,exposure_contribution,vulnerability_contribution,capacity_deficit_contribution,primary_cause,confidence_grade,trigger,action_timing,recommended_action,owner_department,required_resource,cost_band,kpi,human_approval_required,pop_total,elderly_estimate,shelter_dist_m,pump_dist_m,forecast_issued_at,forecast_valid_to,evidence_run_id
11,라마981030,의창구,북면,0.9219,5,5,R5,R5 최우선 대응,0,0.2083,0.3365,0.2645,0.1906,E,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,호우경보 시 지하공간·지하차도 출입통제와 도로 우회 안내를 우선 적용할 구간으로 지정,창원시 재난안전대책본부 (구청 안전건설과 협조),기존 통제 인력 + 안내표지,기존 인력,"통제 선행시간(경보 발효 후 통제까지), 침수 도로 고립 신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,273,107.0,1492.0,7378.0,,,20260908T083531Z-e67551b-a1857c5e
12,마라065835,진해구,충무동,0.9177,5,5,R5,R5 최우선 대응,0,0.2273,0.337,0.2586,0.1771,E,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,호우경보 시 지하공간·지하차도 출입통제와 도로 우회 안내를 우선 적용할 구간으로 지정,창원시 재난안전대책본부 (구청 안전건설과 협조),기존 통제 인력 + 안내표지,기존 인력,"통제 선행시간(경보 발효 후 통제까지), 침수 도로 고립 신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,254,97.0,321.0,2223.0,,,20260908T083531Z-e67551b-a1857c5e
13,마라087849,진해구,이동,0.917,5,5,R5,R5 최우선 대응,0,0.3047,0.4003,0.1988,0.0963,H,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,"우기 전 빗물받이·측구 준설, 호우주의보 시 이동식 펌프·차수판 배치 지점으로 지정",창원시 하수도사업소 (해당 하수처리구역 관할),기존 준설 인력 + 이동식 펌프 1대,소규모 정비 (기존 정비사업 내 우선순위 조정),"우기 전 준설 완료율, 호우 후 해당 격자 침수신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,366,117.0,416.0,396.0,,,20260908T083531Z-e67551b-a1857c5e
14,라라965841,마산합포구,현동,0.9124,5,5,R5,R5 최우선 대응,0,0.1933,0.2727,0.3511,0.1829,V,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,고령가구 사전 연락 명단을 갱신하고 호우주의보 시 1차 연락 대상으로 지정,행정복지센터·복지정책과,기존 방문건강관리 인력,기존 인력,"주의보 발효 후 연락 완료율, 대피 지원 요청 처리시간",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,248,132.0,327.0,2548.0,,,20260908T083531Z-e67551b-a1857c5e
15,마라075856,진해구,경화동,0.9068,5,5,R5,R5 최우선 대응,0,0.2724,0.331,0.208,0.1887,H,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,"우기 전 빗물받이·측구 준설, 호우주의보 시 이동식 펌프·차수판 배치 지점으로 지정",창원시 하수도사업소 (해당 하수처리구역 관할),기존 준설 인력 + 이동식 펌프 1대,소규모 정비 (기존 정비사업 내 우선순위 조정),"우기 전 준설 완료율, 호우 후 해당 격자 침수신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,242,71.0,791.0,1342.0,,,20260908T083531Z-e67551b-a1857c5e
16,마라067838,진해구,충무동,0.9041,5,5,R5,R5 최우선 대응,0,0.1941,0.4268,0.2239,0.1552,E,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,호우경보 시 지하공간·지하차도 출입통제와 도로 우회 안내를 우선 적용할 구간으로 지정,창원시 재난안전대책본부 (구청 안전건설과 협조),기존 통제 인력 + 안내표지,기존 인력,"통제 선행시간(경보 발효 후 통제까지), 침수 도로 고립 신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,364,123.0,229.0,1905.0,,,20260908T083531Z-e67551b-a1857c5e
17,라라988929,마산회원구,양덕2동,0.9032,5,5,R5,R5 최우선 대응,0,0.3089,0.403,0.1933,0.0948,H,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,"우기 전 빗물받이·측구 준설, 호우주의보 시 이동식 펌프·차수판 배치 지점으로 지정",창원시 하수도사업소 (해당 하수처리구역 관할),기존 준설 인력 + 이동식 펌프 1대,소규모 정비 (기존 정비사업 내 우선순위 조정),"우기 전 준설 완료율, 호우 후 해당 격자 침수신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,731,224.0,312.0,1200.0,,,20260908T083531Z-e67551b-a1857c5e
18,라마987028,의창구,북면,0.8943,5,5,R5,R5 최우선 대응,0,0.1366,0.3574,0.2628,0.2433,D,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,반경 2km 내 임시 대피장소 추가 지정과 방재기관 접근로 사전 점검,창원시 재난안전대책본부,기존 시설 협약 (학교·경로당 등),기존 인력,"신규 지정 대피장소 수, 최근접 대피장소까지 거리 단축량",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,303,119.0,1605.0,7620.0,,,20260908T083531Z-e67551b-a1857c5e
19,라라982902,마산합포구,오동동,0.8937,5,5,R5,R5 최우선 대응,0,0.233,0.4109,0.2397,0.1164,E,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,호우경보 시 지하공간·지하차도 출입통제와 도로 우회 안내를 우선 적용할 구간으로 지정,창원시 재난안전대책본부 (구청 안전건설과 협조),기존 통제 인력 + 안내표지,기존 인력,"통제 선행시간(경보 발효 후 통제까지), 침수 도로 고립 신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,351,129.0,527.0,609.0,,,20260908T083531Z-e67551b-a1857c5e
20,라라971874,마산합포구,월영동,0.8926,5,5,R5,R5 최우선 대응,0,0.2635,0.4218,0.1898,0.125,E,B,기상청 호우주의보 (3시간 60mm 또는 12시간 110mm 예상) → 기상청 호우경보 (3시간 90mm 또는 12시간 180mm 예상),우기 전 상시 + 호우주의보 발효 시,호우경보 시 지하공간·지하차도 출입통제와 도로 우회 안내를 우선 적용할 구간으로 지정,창원시 재난안전대책본부 (구청 안전건설과 협조),기존 통제 인력 + 안내표지,기존 인력,"통제 선행시간(경보 발효 후 통제까지), 침수 도로 고립 신고 건수",통제·대피 결정은 법적 권한자가 공식 예보·현장확인 후 판단,818,233.0,839.0,172.0,,,20260908T083531Z-e67551b-a1857c5e
